experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,basis_dim,basis_offset,stack_basis_offsets,arch_family,block_type_primary,backbone,stack_pattern,wavelet_family,basis_dim_label,latent_dim_cfg,trend_thetas_dim_cfg,active_g_cfg,offset_direction
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,0,101064205,8.914362,0.772698,230.787186,1529092.750000,0.403777,0.193808,0.145179,6060815,256,217.24,9,False,False,ReLU,EARLY_STOPPED,9.67722797,9.69885635,5.12671280,66,1.002235,False,"[""14.97857857"", ""13.83282375"", ""12.43318844"", ""12.82602406"", ""12.21687698"", ""12.10262966"", ""11.61333752"", ""11.70960617"", ""11.19907284"", ""11.90167618"", ""11.45219994"", ""11.11829662"", ""11.21800423"", ""10.89934540"", ""10.81353283"", ""11.04727745"", ""10.68840981"", ""10.84443092"", ""10.68172932"", ""10.83899975"", ""10.55096626"", ""10.40168190"", ""10.63610744"", ""10.57475567"", ""10.38304996"", ""10.38127899"", ""10.37811089"", ""10.86212635"", ""10.26663971"", ""10.40976715"", ""10.24605274"", ""10.13330269"", ""10.39926529"", ""10.15536499"", ""10.18608856"", ""10.06851387"", ""10.07267475"", ""10.20589828"", ""9.96963501"", ""10.06695271"", ""10.03149033"", ""9.91850376"", ""9.86816025"", ""9.84591675"", ""9.80278206"", ""9.87979507"", ""9.88339615"", ""9.84287071"", ""9.84183502"", ""9.81525230"", ""9.75195217"", ""9.73124695"", ""9.75637245"", ""9.74051666"", ""9.75004101"", ""9.72550106"", ""9.77563763"", ""9.78222179"", ""9.73432446"", ""9.73367119"", ""9.71782207"", ""9.69426823"", ""9.70762634"", ""9.72741413"", ""9.72748756"", ""9.68906784"", ""9.67722797"", ""9.74188709"", ""9.68480015"", ""9.69902706"", ""9.68370628"", ""9.68462372"", ""9.69242859"", ""9.70807552"", ""9.68389320"", ""9.70075989"", ""9.69789600"", ""9.70454311"", ""9.69768715"", ""9.70423317"", ""9.69040585"", ""9.69885635""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,1,1569769563,8.940801,0.793288,293.739746,3290347.000000,0.408795,0.200701,0.152780,6060815,256,221.11,9,False,False,ReLU,EARLY_STOPPED,9.60993958,9.62826347,5.00840950,70,1.001907,False,"[""15.04441929"", ""13.14341450"", ""12.88368893"", ""12.63391209"", ""13.36220360"", ""12.41373825"", ""11.81868744"", ""12.14975357"", ""11.38493443"", ""11.32637978"", ""11.49066162"", ""11.25337887"", ""11.13813782"", ""11.25520039"", ""11.09548759"", ""10.82994747"", ""10.71262074"", ""10.90858841"", ""10.96138573"", ""10.59296131"", ""10.47074986"", ""10.47947598"", ""10.45911980"", ""10.32051849"", ""10.51020241"", ""10.32840729"", ""10.16893005"", ""10.17601681"", ""10.10692692"", ""10.12322807"", ""10.06850815"", ""9.96527386"", ""9.95043564"", ""10.17017937"", ""10.16179466"", ""10.04813957"", ""9.93907642"", ""10.10521984"", ""9.91810989"", ""9.88231564"", ""10.00719929"", ""9.90227699"", ""9.94491196"", ""9.76932812"", ""9.78970242"", ""9.93148804"", ""9.81697655"", ""9.98183346"", ""9.77061558"", ""9.75615788"", ""9.83420086"", ""9.66904736"", ""9.70198441"", ""9.71981812"", ""9.67111778"", ""9.73951721"", ""9.65192127"", ""9.65532398"", ""9.73377037"", ""9.66360378"", ""9.69071484"", ""9.66226101"", ""9.71191692"", ""9.63760471"", ""9.61678219"", ""9.61730289"", ""9.66937065"", ""9.63897133"", ""9.63492203"", ""9.63377571"", ""9.60993958"", ""9.64830971"", ""9.63465118"", ""9.63174438"", ""9.62042427"", ""9.64427757"", ""9.62855530"", ""9.63181591"", ""9.63430977"", ""9.62629223"", ""9.63046360"", ""9.62912178"", ""9.62981319"", ""9.62754440"", ""9.61949444"", ""9.62826347""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,2,934506398,8.810771,0.786001,239.038727,1218053.875000,0.403737,0.199154,0.150523,6060815,256,241.28,10,False,False,ReLU,EARLY_STOPPED,9.59862423,9.61194801,4.94994640,82,1.001388,False,"[""14.87782574"", ""13.77800083"", ""12.64190674"", ""12.46501255"", ""12.32951355"", ""12.13924408"", ""11.83143139"", ""11.61071396"", ""11.47108555"", ""11.12701893"", ""11.47044086"", ""11.35010910"", ""10.89124584"", ""10.84154415"", ""10.92575741"", ""10.79669666"", ""10.75584602"", ""10.63015270"", ""10.52292728"", ""10.60559464"", ""10.48515892"", ""10.47807217"", ""10.54791260"", ""10.47170353"", ""10.43206406"", ""10.25044727"", ""10.36658096"", ""10.39789772"", ""10.17812443"", ""10.30731392"", ""10.28371811"", ""10.04228210"", ""10.01556206"", ""9.92060280"", ""10.01571083"", ""10.12943935"", ""10.00228882"", ""9.90385342"", ""9.98267937"", ""9.85351086"", ""9.80730534"", ""9.75195789"", ""9.88572884"", ""9.82271099"", ""9.89242744"", ""9.81364727"", ""9.76422596"", ""9.71757984"", ""9.75856876"", ""9.74984646"", ""9.73869705"", ""9.72872257"", ""9.69293213"", ""9.64873505"", ""9.68185997"", ""9.66384506"", ""9.68377590"", ""9.70920563"", ""9.65875912"", ""9.72451687"", ""9.63175011"", ""9.62858582"", ""9.60379505"", ""9.62534428"", ""9.64369583"", ""9.62860584"", ""9.62357712"", ""9.62668037"", ""9.62584209"", ""9.61824799"", ""9.63408756"", ""9.62084484"", ""9.62698269"", ""9.61356640"", ""9.60279274"", ""9.61569214"", ""9.61146450"", ""9.61083508"", ""9.62151623"", ""9.60144520"", ""9.60711765"", ""9.61184692"", ""9.59862423"", ""9.60295773"", ""9.60629940"", ""9.60958099"", ""9.61124897"", ""9.61839676"", ""9.60837936"", ""9.61183357"", ""9.60643482"", ""9.60246658"", ""9.60535526"", ""9.61221790"", ""9.60856628"", ""9.60866165"", ""9.60430050"", ""9.61194801""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,3,1726529674,9.115305,0.817940,278.868622,2068517.125000,0.418688,0.209804,0.165163,6060815,256,183.41,8,False,False,ReLU,EARLY_STOPPED,9.56558704,9.56558704,5.59329605,73,1.000000,False,"[""14.92557812"", ""13.07451439"", ""12.31051826"", ""12.55732918"", ""12.18594170"", ""11.90466118"", ""12.63324738"", ""11.90506077"", ""12.05290031"", ""11.56365776"", ""11.63637543"", ""11.10937119"", ""11.42646790"", ""11.00244045"", ""11.03219128"", ""10.93333149"", ""11.17395210"", ""10.73284340"", ""10.71027088"", ""10.95831871"", ""10.77334976"", ""10.35040855"", ""10.61445045"", ""10.46983814"", ""10.11019897"", ""10.17842865"", ""9.98542786"", ""10.08742619"", ""10.19345951"", ""10.08944988"", ""10.16602707"", ""9.93782043"", ""9.98889256"", ""9.97362804"", ""9.76519680"", ""9.85479164"", ""9.87084103"", ""9.83307552"", ""9.69451809"", ""9.65162849"", ""9.78382587"", ""9.73048687"", ""9.79200840"", ""9.72613907"", ""9.70221519"", ""9.67728901"", ""9.64253807"", ""9.64215279"", ""9.60683918"", ""9.63811684"", ""9.62878990"", ""9.60276413"", ""9.60287571"", ""9.62179470"", ""9.60904217"", ""9.64025688"", ""9.62795067"", ""9.61151409"", ""9.56614208"", ""9.60072136"", ""9.58809280"", ""9.57664871"", ""9.59376431"", ""9.59233379"", ""9.57506561"", ""9.57878494"", ""9.56820774"", ""9.58583164"", ""9.57828712"", ""9.58583164"", ""9.58551121"", ""9.57611656"", ""9.57613468"", ""9.56558704""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,4,1920550241,8.997845,0.810088,272.648285,1488073.625000,0.413853,0.201954,0.148836,6060815,256,153.73,7,False,False,ReLU,EARLY_STOPPED,9.69462204,9.70304871,5.49393129,45,1.000869,False,"[""14.98783875"", ""13.17841148"", ""12.82068062"", ""12.33649635"", ""12.32153797"", ""12.27594566"", ""11.86584759"", ""11.58209133"", ""11.72152042"", ""11.64031601"", ""11.21070671"", ""11.02193260"", ""11.15038967"", ""10.73981190"", ""11.13525486"", ""10.91353607"", ""10.78041172"", ""10.89295864"", ""10.67529106"", ""10.29934216"", ""10.21552086"", ""10.15316582"", ""10.16519928"", ""10.11991405"", ""10.04807568"", ""10.23367691"", ""10.22404194"", ""10.03985023"", ""10.01885319"", ""10.05283928"", ""10.13169479"", ""10.05474663"", ""9.96273041"", ""9.87618256"", ""9.89653587"", ""10.10868931"", ""9.94006062"", ""9.92185879"", ""9.84474087"", ""9.86321831"", ""9.84238720"", ""9.77042961"", ""9.82879734"", ""9.81941700"", ""9.80622959"", ""9.69462204"", ""9.69567394"", ""9.73788643"", ""9.72845936"", ""9.73668861"", ""9.74629116"", ""9.73097897"", ""9.75694561"", ""9.70187283"", ""9.72499943"", ""9.71933079"", ""9.69922638"", ""9.71379662"", ""9.70306206"", ""9.69685555"", ""9.70304871""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,5,1174514544,9.004373,0.811630,263.624634,1522785.500000,0.414353,0.202875,0.154175,6060815,256,158.51,7,False,False,ReLU,EARLY_STOPPED,9.72998905,9.73040295,5.23504257,47,1.000043,False,"[""14.44542122"", ""13.19776344"", ""12.38286877"", ""13.05440044"", ""12.00860977"", ""12.13280392"", ""12.02792168"", ""11.30076981"", ""11.26706505"", ""10.94339848"", ""10.72044563"", ""10.88941097"", ""10.96685505"", ""10.55572891"", ""10.76349449"", ""10.73630142"", ""10.29331207"", ""10.47263813"", ""10.28900719"", ""10.20084000"", ""10.20540714"", ""10.32844067"", ""10.18719292"", ""10.26153946"", ""10.29466438"", ""10.07219887"", ""9.90089226"", ""10.03996277"", ""10.02138424"", ""9.91802883"", ""9.88113594"", ""9.92910290"", ""9.83010769"", ""9.89830780"", ""9.92469597"", ""9.82671738"", ""9.77017021"", ""9.84866619"", ""9.85420799"", ""9.84802437"", ""9.84780025"", ""9.81720734"", ""9.87835979"", ""9.80529594"", ""9.73387527"", ""9.80756760"", ""9.82330513"", ""9.72998905"", ""9.75247574"", ""9.77745438"", ""9.76197720"", ""9.76644707"", ""9.73768425"", ""9.78051090"", ""9.74887848"", ""9.75997162"", ""9.76531029"", ""9.74929810"", ""9.74657059"", ""9.73996353"", ""9.74589634"", ""9.73283768"", ""9.73040295""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,6,1477582673,8.997222,0.806271,247.001389,998498.937500,0.413040,0.200340,0.146972,6060815,256,222.24,9,False,False,ReLU,EARLY_STOPPED,9.70518970,9.70962906,5.76444483,66,1.000457,False,"[""15.09962082"", ""13.49908733"", ""12.65014076"", ""12.86734867"", ""12.78860855"", ""11.65296459"", ""11.38885212"", ""11.77447510"", ""11.50531292"", ""10.91375160"", ""10.97313118"", ""10.77358246"", ""11.06441879"", ""10.89401722"", ""10.71579456"", ""10.84493446"", ""10.66675472"", ""10.56194210"", ""10.44606495"", ""10.40080452"", ""10.45375252"", ""10.37492371"", ""10.69412231"", ""10.69807148"", ""10.15871525"", ""10.29409885"", ""10.45208168"", ""10.07621765"", ""9.96401596"", ""10.03929996"", ""10.06856728"", ""10.06874180"", ""10.09091949"", ""9.95080662"", ""9.98866653"", ""9.87390232"", ""9.91344166"", ""9.94896412"", ""9.88113022"", ""9.89941311"", ""9.77016068"", ""9.87424088"", ""9.80157757"", ""9.79817963"", ""9.76928711"", ""9.77169609"", ""9.77975464"", ""9.76552296"", ""9.77368069"", ""9.75730801"", ""9.72658253"", ""9.74443245"", ""9.77607250"", ""9.76208401"", ""9.73463249"", ""9.75055695"", ""9.73401070"", ""9.73112392"", ""9.73022461"", ""9.72372246"", ""9.71376324"", ""9.71362019"", ""9.71101379"", ""9.70626163"", ""9.70978928"", ""9.71041584"", ""9.70518970"", ""9.71888161"", ""9.71917248"", ""9.71786785"", ""9.71545315"", ""9.70786858"", ""9.71484089"", ""9.70893764"", ""9.70681572"", ""9.70593548"", ""9.71496201"", ""9.71354103"", ""9.71028996"", ""9.71610641"", ""9.71054649"", ""9.70962906""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,7,2088320920,8.942082,0.798222,253.975540,1627565.500000,0.409859,0.198802,0.148070,6060815,256,218.66,8,False,False,ReLU,EARLY_STOPPED,9.71035671,9.72538471,5.63875246,62,1.001548,False,"[""14.75065613"", ""13.04577255"", ""12.53050137"", ""12.78585243"", ""12.23972225"", ""11.86498833"", ""11.45095634"", ""11.36127663"", ""12.07468319"", ""11.74249840"", ""10.93238449"", ""10.77659225"", ""11.11281681"", ""10.91455269"", ""10.62431622"", ""10.84665012"", ""10.45341015"", ""10.50139618"", ""10.61135483"", ""10.46236229"", ""10.51513004"", ""10.28810692"", ""10.28888416"", ""10.26838207"", ""10.54261589"", ""10.09332180"", ""10.37898540"", ""10.05146408"", ""10.22222614"", ""10.00624371"", ""10.18599892"", ""10.13741684"", ""10.07836819"", ""10.00528526"", ""9.99483013"", ""9.91078568"", ""9.91586494"", ""9.96871567"", ""9.89804459"", ""9.79808998"", ""9.84327602"", ""9.96008205"", ""9.79410934"", ""9.78193951"", ""9.79565525"", ""9.78629780"", ""9.75498104"", ""9.81214237"", ""9.83983898"", ""9.77267933"", ""9.78120518"", ""9.73715973"", ""9.74659729"", ""9.73749638"", ""9.75305176"", ""9.78599834"", ""9.72971916"", ""9.74857521"", ""9.76378441"", ""9.75972462"", ""9.76369286"", ""9.72501087"", ""9.71035671"", ""9.72460461"", ""9.72691727"", ""9.74616528"", ""9.72764301"", ""9.74257946"", ""9.72310638"", ""9.73065090"", ""9.73441792"", ""9.71888161"", ""9.72947598"", ""9.72479439"", ""9.73122311"", ""9.72835922"", ""9.72364426"", ""9.72538471""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,8,1017302165,8.880791,0.797786,245.121429,1324738.000000,0.408101,0.200481,0.154494,6060815,256,217.91,8,False,False,ReLU,EARLY_STOPPED,9.73009872,9.74246979,5.30795288,62,1.001271,False,"[""14.92422676"", ""13.37154675"", ""13.63005543"", ""12.77682972"", ""12.17342281"", ""12.44557476"", ""11.90723705"", ""11.73646641"", ""11.60464859"", ""11.40940571"", ""11.20011139"", ""11.51290035"", ""11.11552525"", ""11.39903736"", ""11.21870899"", ""10.80335331"", ""10.77332211"", ""10.88922310"", ""10.63110161"", ""10.40846920"", ""10.71576214"", ""10.63909340"", ""10.39201164"", ""10.32905102"", ""10.33032322"", ""10.25182056"", ""10.28150082"", ""10.29192924"", ""10.29410172"", ""10.45565414"", ""10.32313156"", ""10.16111660"", ""10.15447426"", ""10.07334614"", ""10.15194130"", ""10.21545506"", ""9.96517754"", ""10.08346939"", ""9.88921642"", ""9.97789288"", ""9.94762135"", ""9.97828007"", ""9.94723034"", ""9.93408203"", ""9.94842052"", ""9.82825756"", ""9.85303974"", ""9.81823349"", ""9.84498692"", ""9.87899017"", ""9.82585144"", ""9.79909229"", ""9.80585480"", ""9.83371067"", ""9.81176758"", ""9.85093307"", ""9.76977539"", ""9.77493572"", ""9.76302719"", ""9.79897499"", ""9.80554962"", ""9.77184582"", ""9.73009872"", ""9.74530029"", ""9.73111534"", ""9.74888992"", ""9.76520061"", ""9.76438046"", ""9.75417137"", ""9.74681950"", ""9.75523663"", ""9.73655224"", ""9.74722862"", ""9.74496841"", ""9.75011253"", ""9.74736214"", ""9.73908615"", ""9.74246979""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_ascend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,9,1103046158,8.865375,0.793265,245.608719,1665372.750000,0.406738,0.199590,0.148455,6060815,256,206.09,8,False,False,ReLU,EARLY_STOPPED,9.62550354,9.63402748,5.33883286,59,1.000886,False,"[""14.88598824"", ""13.49012089"", ""12.55049896"", ""12.41490841"", ""11.81607246"", ""11.56195545"", ""11.91141224"", ""11.70867062"", ""11.26273537"", ""11.42074585"", ""10.84435749"", ""11.27856445"", ""11.01172829"", ""10.76020432"", ""10.76089478"", ""10.51985645"", ""10.76621628"", ""10.47016811"", ""10.36282825"", ""10.38565636"", ""10.50924683"", ""10.37936497"", ""10.26344109"", ""10.34535885"", ""10.19783974"", ""10.28953552"", ""10.08366108"", ""10.31039333"", ""10.17860222"", ""10.12035084"", ""9.96945667"", ""9.97267056"", ""10.16164017"", ""9.82353401"", ""9.98763847"", ""9.83242130"", ""9.78502369"", ""9.81919289"", ""9.75689411"", ""9.70004272"", ""9.89142895"", ""9.74244881"", ""9.77179813"", ""9.77620220"", ""9.68079472"", ""9.66516685"", ""9.71030140"", ""9.75449181"", ""9.71956635"", ""9.74000263"", ""9.63037109"", ""9.65693665"", ""9.69542599"", ""9.65654755"", ""9.65240479"", ""9.66038036"", ""9.65143776"", ""9.63618851"", ""9.66170311"", ""9.62550354"", ""9.63716221"", ""9.64158344"", ""9.65949535"", ""9.65323257"", ""9.64042091"", ""9.64793205"", ""9.63522053"", ""9.64798069"", ""9.63519096"", ""9.64125156"", ""9.64749718"", ""9.63623333"", ""9.63726902"", ""9.63619995"", ""9.63402748""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,ascend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_descend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,0,2010374104,8.914977,0.808972,229.161987,990567.687500,0.411367,0.197030,0.144950,6060815,256,166.48,6,False,False,ReLU,EARLY_STOPPED,9.79424763,9.80478764,6.06618500,41,1.001076,False,"[""14.93003941"", ""14.51510048"", ""12.88786793"", ""12.13195992"", ""12.42576313"", ""12.29090500"", ""11.34488297"", ""11.47471523"", ""11.77979851"", ""10.95888901"", ""10.92283821"", ""10.80224609"", ""10.89546108"", ""10.84236813"", ""10.52296734"", ""10.81054497"", ""10.41837692"", ""10.49680614"", ""10.53026199"", ""10.36320305"", ""10.38143158"", ""10.27610397"", ""10.17407799"", ""10.55100918"", ""10.33041859"", ""10.23287106"", ""10.19989300"", ""10.13430214"", ""10.06025124"", ""10.09560204"", ""10.05994797"", ""9.96470261"", ""10.06839561"", ""10.12612152"", ""9.98404121"", ""10.03925323"", ""9.85885239"", ""9.98327923"", ""9.89380550"", ""9.87315369"", ""9.88358116"", ""9.79424763"", ""9.85337639"", ""9.87103844"", ""9.81966209"", ""9.83637905"", ""9.84981632"", ""9.83219147"", ""9.82385731"", ""9.84790707"", ""9.80978012"", ""9.81925392"", ""9.80487061"", ""9.83014297"", ""9.81400776"", ""9.80748367"", ""9.80478764""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,descend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_descend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,1,2008682291,8.943260,0.810232,251.247665,1248855.875000,0.412399,0.199988,0.150005,6060815,256,203.63,8,False,False,ReLU,EARLY_STOPPED,9.71745777,9.74884987,5.63866425,56,1.003230,False,"[""14.64363766"", ""13.07854843"", ""12.39879322"", ""12.44777489"", ""12.55388069"", ""11.85702133"", ""11.41596413"", ""11.19418812"", ""11.43792152"", ""11.36408901"", ""10.86190510"", ""10.93424988"", ""10.83095932"", ""10.67270660"", ""10.70868587"", ""10.67624855"", ""10.42423630"", ""10.48760700"", ""10.42413902"", ""10.49736786"", ""10.27771854"", ""10.24563408"", ""10.23200989"", ""10.18442249"", ""10.30103970"", ""10.21820068"", ""10.04160881"", ""10.06603336"", ""9.93610477"", ""9.94283962"", ""10.08306789"", ""10.05766201"", ""9.93550014"", ""9.99121189"", ""9.86063957"", ""9.90596962"", ""9.87445068"", ""9.82623577"", ""9.81072140"", ""9.78318501"", ""9.85114479"", ""9.85559464"", ""9.83343220"", ""9.80420876"", ""9.81055737"", ""9.76344204"", ""9.77692127"", ""9.79130173"", ""9.77895451"", ""9.76242828"", ""9.74380589"", ""9.75888157"", ""9.77982426"", ""9.77116108"", ""9.78029823"", ""9.75772858"", ""9.71745777"", ""9.72485733"", ""9.73264980"", ""9.73850536"", ""9.74227142"", ""9.73787117"", ""9.73358059"", ""9.74322891"", ""9.72938061"", ""9.74607563"", ""9.74580765"", ""9.75726414"", ""9.74796391"", ""9.75789833"", ""9.75350094"", ""9.74884987""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,descend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_descend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,2,682452232,9.009858,0.823633,289.373352,1994660.750000,0.417008,0.208761,0.162202,6060815,256,218.41,8,False,False,ReLU,EARLY_STOPPED,9.65631676,9.67458916,5.48839808,63,1.001892,False,"[""14.28543472"", ""13.34296894"", ""12.36901760"", ""12.23663807"", ""11.65281105"", ""12.01715946"", ""11.51361656"", ""11.70468044"", ""11.16509724"", ""11.15176678"", ""10.77561474"", ""11.73820019"", ""11.25935650"", ""11.30737782"", ""10.79505539"", ""10.50649738"", ""10.74485111"", ""10.53657055"", ""10.45307446"", ""10.30938625"", ""10.33449364"", ""10.23340702"", ""10.35153103"", ""10.22958565"", ""10.25974464"", ""10.29821491"", ""9.99860668"", ""10.07204819"", ""10.05471897"", ""10.00584888"", ""10.22848701"", ""9.90235710"", ""9.82347679"", ""9.84670448"", ""9.85502243"", ""9.88865662"", ""9.83640957"", ""9.92136478"", ""9.81626511"", ""9.80132294"", ""9.79521751"", ""9.81823921"", ""9.83651733"", ""9.83326530"", ""9.76896477"", ""9.75647354"", ""9.79773808"", ""9.76913166"", ""9.74360943"", ""9.73404312"", ""9.75729847"", ""9.73346424"", ""9.77587414"", ""9.76382256"", ""9.73250675"", ""9.69480324"", ""9.69587898"", ""9.71659756"", ""9.68012047"", ""9.69970512"", ""9.70991039"", ""9.69260979"", ""9.65751457"", ""9.65631676"", ""9.71239376"", ""9.68127060"", ""9.66574192"", ""9.68176365"", ""9.66319752"", ""9.67989159"", ""9.68058109"", ""9.68053532"", ""9.67043972"", ""9.67482185"", ""9.67190742"", ""9.66888523"", ""9.66860104"", ""9.66746330"", ""9.67458916""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,descend
m4_hourly_sym10_tiered_offset,T+Sym10V3_10s_bdEQ_descend,tiered_offset_rb,"['Trend', 'Symlet10WaveletV3']",Hourly,24,48,240,10,1,True,3,1748913809,8.903818,0.807963,307.369171,2965876.250000,0.410852,0.204556,0.154290,6060815,256,235.81,9,False,False,ReLU,EARLY_STOPPED,9.65159416,9.67123795,5.64412165,76,1.002035,False,"[""14.60866642"", ""12.92033195"", ""12.39117146"", ""12.64651012"", ""11.80181694"", ""11.93649673"", ""12.02960682"", ""11.18369770"", ""11.13628197"", ""10.96655369"", ""10.85547256"", ""10.95848179"", ""11.07707024"", ""10.56555462"", ""10.53167152"", ""10.53742504"", ""10.52875042"", ""10.43383980"", ""10.50900364"", ""10.29114342"", ""10.37344742"", ""10.49972057"", ""10.40922642"", ""10.10778713"", ""10.13793755"", ""10.48773003"", ""10.25887203"", ""10.04634190"", ""9.93947506"", ""9.98965454"", ""10.04353046"", ""9.99481201"", ""10.11125755"", ""10.02104473"", ""9.95517635"", ""9.84282398"", ""9.85230160"", ""9.81756783"", ""9.79458427"", ""9.87494469"", ""9.81265640"", ""9.79693031"", ""9.73865509"", ""9.80067635"", ""9.78080940"", ""9.71461296"", ""9.77862453"", ""9.77943420"", ""9.73924541"", ""9.69738102"", ""9.79757595"", ""9.67457485"", ""9.73620510"", ""9.73681545"", ""9.68620491"", ""9.68461132"", ""9.68906975"", ""9.69527245"", ""9.68687153"", ""9.67705727"", ""9.69680691"", ""9.69345665"", ""9.69038296"", ""9.67955780"", ""9.68058014"", ""9.66737270"", ""9.69448566"", ""9.69145298"", ""9.66918659"", ""9.66808987"", ""9.65163136"", ""9.66975594"", ""9.66209507"", ""9.68834877"", ""9.67231750"", ""9.67605019"", ""9.65159416"", ""9.66442966"", ""9.66343021"", ""9.66327000"", ""9.67152882"", ""9.66287136"", ""9.66777229"", ""9.67592239"", ""9.66258430"", ""9.67123795""]",,,,alt_trend_wavelet_rb,Trend+Symlet10WaveletV3,RootBlock,alternating,sym10,eq_fcast,,3,False,descend
