experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,backbone_family,wavelet_family,category_label,latent_dim
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,0,42,19.384535,0.751623,0.011521,0.000746,nan,0.248332,0.296920,1674320,1398.14,15,False,False,ReLU,MAX_EPOCHS,19.51133156,19.79794121,21.72452927,13,1.014689,False,"[""35.69218445"", ""33.40457916"", ""30.22211266"", ""29.92666435"", ""28.60140419"", ""24.51042557"", ""22.04611969"", ""22.71603012"", ""21.88091660"", ""20.59096909"", ""20.44278336"", ""19.52622032"", ""19.74670982"", ""19.51133156"", ""19.79794121""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,1,43,19.300753,0.759246,0.011593,0.000730,nan,0.250491,0.292249,1674320,1411.49,15,False,False,ReLU,MAX_EPOCHS,19.79253006,19.79253006,22.20414543,14,1.000000,False,"[""39.62026978"", ""30.59331703"", ""29.31963730"", ""28.36174965"", ""27.52465820"", ""25.84249687"", ""24.45762634"", ""22.79548645"", ""21.70643425"", ""22.61586571"", ""21.36610985"", ""20.02069092"", ""20.48959160"", ""20.46340179"", ""19.79253006""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld8,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,2,44,18.747944,0.746612,0.011453,0.000735,nan,0.246627,0.292673,1674320,1380.64,15,False,False,ReLU,MAX_EPOCHS,19.55356026,19.55356026,21.89808655,14,1.000000,False,"[""39.47097778"", ""32.57746506"", ""29.92029572"", ""30.09133911"", ""30.20280647"", ""28.75028801"", ""26.25967789"", ""24.08155632"", ""22.83396530"", ""21.31741714"", ""21.00116730"", ""22.06271744"", ""20.55940437"", ""20.15574265"", ""19.55356026""]",1,GenericVAE2,VAE2,,generic,8
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,0,42,18.315468,0.725945,0.011125,0.000703,nan,0.239960,0.279111,1705120,1376.52,15,False,False,ReLU,MAX_EPOCHS,18.95834732,18.95834732,21.80236816,14,1.000000,False,"[""35.59726715"", ""31.20310593"", ""29.68680191"", ""30.40715981"", ""28.17684746"", ""25.56583595"", ""23.62597275"", ""22.75685501"", ""21.17175674"", ""21.12639427"", ""20.37767982"", ""20.05519485"", ""19.33037567"", ""19.96268272"", ""18.95834732""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,1,43,17.913509,0.716492,0.011030,0.000687,nan,0.237560,0.277449,1705120,1384.67,15,False,False,ReLU,MAX_EPOCHS,18.79516411,18.88634682,21.82716560,13,1.004851,False,"[""35.39366913"", ""30.37855911"", ""31.17946434"", ""29.23155212"", ""26.87356949"", ""25.00780487"", ""23.53746414"", ""22.67160797"", ""21.63124466"", ""21.10989952"", ""20.65986443"", ""19.65333748"", ""19.86466408"", ""18.79516411"", ""18.88634682""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld16,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,2,44,18.606421,0.734694,0.011247,0.000727,nan,0.242584,0.288656,1705120,1394.10,15,False,False,ReLU,MAX_EPOCHS,18.99050713,18.99050713,21.12387848,14,1.000000,False,"[""37.16130829"", ""30.96691322"", ""30.77409935"", ""29.76255798"", ""30.57989693"", ""26.75190926"", ""25.82673073"", ""21.82163429"", ""23.30528831"", ""20.87662697"", ""20.50069427"", ""20.17020035"", ""20.33272743"", ""19.20608902"", ""18.99050713""]",1,GenericVAE2,VAE2,,generic,16
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,0,42,17.785152,0.697574,0.010743,0.000680,nan,0.230950,0.273828,1766720,1402.55,15,False,False,ReLU,MAX_EPOCHS,18.34250450,18.34250450,21.33711433,14,1.000000,False,"[""35.01919937"", ""31.14015007"", ""29.97379684"", ""30.86227417"", ""28.24779129"", ""24.48884010"", ""22.71868896"", ""21.39942741"", ""20.05920792"", ""19.65471840"", ""20.62516785"", ""19.07656288"", ""19.41076660"", ""19.42803192"", ""18.34250450""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,1,43,17.500540,0.698697,0.010783,0.000695,nan,0.231150,0.276304,1766720,1432.88,15,False,False,ReLU,MAX_EPOCHS,19.01811028,19.01811028,21.09005165,14,1.000000,False,"[""33.62611771"", ""31.15792656"", ""30.65464401"", ""30.21121788"", ""29.90205193"", ""27.14218712"", ""25.07240105"", ""22.73368835"", ""21.24988365"", ""21.09351158"", ""19.76856232"", ""19.48671913"", ""19.37734604"", ""19.96825409"", ""19.01811028""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE2_ld32,generic,['GenericVAE2'],Traffic-96,24,96,192,5,1,True,2,44,18.616903,0.741263,0.011450,0.000749,nan,0.244943,0.291201,1766720,1476.14,15,False,False,ReLU,MAX_EPOCHS,18.94044685,18.94044685,21.23789406,14,1.000000,False,"[""35.12779617"", ""31.11823845"", ""29.66763115"", ""29.38961601"", ""27.49832726"", ""24.35066795"", ""22.26843834"", ""22.11717224"", ""20.52664948"", ""20.83878136"", ""20.11576653"", ""21.19380188"", ""20.11090660"", ""20.11131859"", ""18.94044685""]",1,GenericVAE2,VAE2,,generic,32
baseline_r1,GenericVAE_ld8,generic,['GenericVAE'],Traffic-96,24,96,192,5,1,True,0,42,17.920021,0.711134,0.010920,0.000689,nan,0.235302,0.276347,1987920,1479.30,15,False,False,ReLU,MAX_EPOCHS,18.54390907,18.54390907,20.66066742,14,1.000000,False,"[""36.26304245"", ""31.76063538"", ""30.57826805"", ""31.93513680"", ""30.49799538"", ""25.04141808"", ""23.08209229"", ""22.01242447"", ""20.91172600"", ""21.27474785"", ""21.13342857"", ""19.86935997"", ""20.36700821"", ""19.60215378"", ""18.54390907""]",1,GenericVAE,VAE1,,generic,8
