experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,t_width,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,gate_fn,architecture,block_type,backbone
gate_fn_study,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,1,43,52.286106,0.108357,0.292171,0.199740,nan,0.046365,0.007803,2977340,256,578.19,65,False,False,ReLU,EARLY_STOPPED,59.17292404,60.46763229,42.67085648,39,1.021880,False,"[""87.29905701"", ""77.33699036"", ""72.61539459"", ""70.89025879"", ""67.81606293"", ""66.40671539"", ""65.97414398"", ""65.26139832"", ""64.27841949"", ""64.84875488"", ""63.22254562"", ""62.93067932"", ""63.75561523"", ""61.65795135"", ""63.28799438"", ""62.38855743"", ""62.88274002"", ""63.35564423"", ""61.45305634"", ""62.26493835"", ""62.18038177"", ""62.92980194"", ""64.00248718"", ""61.36183929"", ""60.97560120"", ""61.41862106"", ""62.14501953"", ""61.47831726"", ""60.51515961"", ""60.59082031"", ""60.90689850"", ""60.41884613"", ""60.19586945"", ""60.70085144"", ""60.59905243"", ""60.98062515"", ""60.30017853"", ""62.14507294"", ""60.55648804"", ""59.17292404"", ""59.63778687"", ""60.98316193"", ""60.40832520"", ""60.25205994"", ""60.45471573"", ""61.75731277"", ""60.06311798"", ""59.99546051"", ""59.77831650"", ""60.74066925"", ""60.11217880"", ""60.30381775"", ""60.23579788"", ""60.65832520"", ""59.87897491"", ""60.78171158"", ""60.78235626"", ""61.96322632"", ""60.44025421"", ""60.89162445"", ""60.36874771"", ""61.27717590"", ""60.71413040"", ""59.28954315"", ""60.46763229""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,0,42,49.529785,0.124863,0.290004,0.215775,nan,0.050477,0.008902,2977340,256,634.88,71,False,False,ReLU,EARLY_STOPPED,59.02291107,60.18892670,41.47435760,45,1.019755,False,"[""89.15679932"", ""78.75128174"", ""74.03620148"", ""72.37403870"", ""68.35148621"", ""69.09589386"", ""66.27691650"", ""65.09233856"", ""63.95489120"", ""65.73918152"", ""64.86667633"", ""63.67428207"", ""62.56510925"", ""62.20122528"", ""63.65074921"", ""62.33275986"", ""60.50212479"", ""61.35533905"", ""62.29316711"", ""61.47070694"", ""61.73120117"", ""63.74139786"", ""60.36529541"", ""60.71788025"", ""61.72455978"", ""60.20101929"", ""60.68393707"", ""62.58655930"", ""61.04101562"", ""61.06107712"", ""64.06922913"", ""60.77853394"", ""63.34066391"", ""61.78082275"", ""60.09324646"", ""60.02042770"", ""59.99917984"", ""59.09204102"", ""59.81694031"", ""59.68429947"", ""60.24631882"", ""60.40397263"", ""59.15394974"", ""60.22778320"", ""59.69379044"", ""59.02291107"", ""59.13072968"", ""60.71941757"", ""59.45943451"", ""60.64366150"", ""62.23052597"", ""60.18931961"", ""60.57369614"", ""59.68185043"", ""59.51716995"", ""59.81497192"", ""60.09217072"", ""60.68114090"", ""60.42344666"", ""59.79838943"", ""59.89404297"", ""60.30358505"", ""62.48875809"", ""60.62501144"", ""59.74208069"", ""59.80976105"", ""59.84562302"", ""59.72388840"", ""60.19629669"", ""60.60493088"", ""60.18892670""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,2,44,51.916348,0.111877,0.294070,0.196112,nan,0.047327,0.007295,2977340,256,823.64,92,False,False,ReLU,EARLY_STOPPED,59.23698425,60.70032501,38.14099884,66,1.024703,False,"[""89.44543457"", ""77.92664337"", ""72.28219604"", ""69.02167511"", ""68.96591187"", ""66.16136169"", ""66.29258728"", ""63.60347366"", ""63.73212433"", ""62.95227432"", ""62.10229111"", ""63.91087341"", ""62.82701492"", ""63.47079849"", ""61.92814636"", ""62.70218658"", ""61.00860214"", ""60.59541702"", ""60.78575134"", ""62.16957474"", ""61.15787125"", ""60.62569427"", ""60.74581146"", ""62.60438538"", ""61.15142059"", ""61.68618774"", ""59.91671371"", ""59.95154953"", ""61.41636276"", ""62.94028854"", ""60.71875763"", ""61.71201324"", ""62.67750931"", ""59.97493362"", ""61.01912308"", ""60.84279251"", ""60.52423096"", ""59.92494965"", ""60.57802963"", ""60.43650436"", ""61.39796829"", ""60.18451309"", ""60.43366623"", ""60.61492538"", ""61.04072189"", ""60.33860397"", ""60.29138565"", ""61.03722000"", ""60.34789276"", ""61.69441986"", ""59.97507095"", ""59.68305588"", ""61.49315262"", ""60.63787460"", ""61.54804230"", ""59.91590118"", ""60.16631317"", ""61.01898956"", ""59.79428864"", ""59.75157547"", ""60.61854553"", ""60.13005829"", ""59.61140823"", ""59.78429413"", ""60.11732864"", ""60.07236862"", ""59.23698425"", ""59.65999985"", ""59.97424316"", ""60.43966293"", ""59.66415024"", ""59.48931503"", ""61.56505203"", ""60.53181839"", ""59.57375336"", ""60.36205292"", ""59.93025208"", ""60.83094406"", ""61.74709320"", ""60.70995331"", ""59.89218521"", ""60.70726013"", ""60.73218155"", ""60.24438095"", ""59.84667587"", ""59.71749496"", ""60.38915634"", ""60.45311737"", ""59.74969101"", ""59.84980392"", ""60.11700058"", ""60.70032501""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,3,45,48.052471,0.091708,0.262167,0.170550,nan,0.039987,0.006053,2977340,256,470.45,53,False,False,ReLU,EARLY_STOPPED,59.95454025,60.37985229,47.84028625,27,1.007094,False,"[""89.11673737"", ""80.41454315"", ""74.15459442"", ""70.33346558"", ""67.36134338"", ""68.23855591"", ""66.66979218"", ""64.50574493"", ""64.47576141"", ""63.56970215"", ""63.99581528"", ""64.90045929"", ""62.29467392"", ""63.36183548"", ""62.99950409"", ""63.88288879"", ""62.04415131"", ""60.80617142"", ""63.36978531"", ""62.79164505"", ""62.32112885"", ""63.18318176"", ""64.26937103"", ""61.49672318"", ""62.34739304"", ""64.27336884"", ""61.21541214"", ""59.95454025"", ""60.98268509"", ""61.02330017"", ""60.75173187"", ""60.15441895"", ""60.08465958"", ""60.62281036"", ""60.69150543"", ""60.86081314"", ""60.74764252"", ""60.79570770"", ""61.96185303"", ""60.81039429"", ""60.17763519"", ""61.03870392"", ""61.64834595"", ""60.79736328"", ""60.35200882"", ""60.23236465"", ""60.25758362"", ""60.97678375"", ""59.98451233"", ""60.02763367"", ""60.30706406"", ""60.30035782"", ""60.37985229""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_sigmoid,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,4,46,49.924805,0.103826,0.286217,0.204867,nan,0.045244,0.007630,2977340,256,585.42,65,False,False,ReLU,EARLY_STOPPED,59.04431152,61.09545898,44.83871460,39,1.034739,False,"[""94.45603180"", ""83.60752106"", ""76.43427277"", ""72.45528412"", ""68.27071381"", ""65.63269043"", ""64.74191284"", ""64.74079132"", ""67.88680267"", ""65.04374695"", ""63.61185837"", ""62.46482086"", ""62.21746826"", ""60.43126678"", ""62.50585175"", ""63.69449615"", ""62.34223175"", ""61.44107056"", ""60.52232361"", ""61.68141937"", ""59.46097565"", ""64.59447479"", ""62.50030899"", ""62.66379929"", ""60.85516739"", ""61.42028427"", ""59.63100052"", ""60.60227203"", ""60.36182022"", ""61.31499863"", ""61.13944244"", ""61.07394028"", ""60.21820831"", ""60.91964722"", ""59.65854645"", ""60.12471771"", ""61.04293442"", ""60.03356171"", ""61.04935455"", ""59.04431152"", ""61.32015991"", ""59.81847763"", ""59.61517715"", ""59.69663620"", ""61.31106186"", ""60.33869934"", ""61.44607162"", ""60.15705872"", ""60.15313721"", ""60.00762558"", ""59.44840240"", ""59.40414429"", ""59.94007111"", ""60.27611923"", ""59.73967743"", ""59.84645081"", ""60.34720993"", ""59.86824799"", ""60.00330353"", ""60.39305496"", ""60.18803024"", ""60.08790588"", ""59.34572983"", ""60.88921356"", ""61.09545898""]",sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,0,42,53.347237,0.130909,0.315372,0.208477,nan,0.054852,0.011177,2977340,256,681.89,70,False,False,ReLU,EARLY_STOPPED,58.33969116,58.61036301,41.07746887,44,1.004640,False,"[""87.50595856"", ""80.34091949"", ""73.10471344"", ""70.63243103"", ""68.49047852"", ""65.85726929"", ""64.52865601"", ""63.51011276"", ""64.97046661"", ""64.62564087"", ""63.10066605"", ""63.59669495"", ""62.12030029"", ""62.10346985"", ""65.58768463"", ""62.03715515"", ""60.33330536"", ""62.52299118"", ""63.80710602"", ""60.93937683"", ""61.20191956"", ""63.23233414"", ""62.66350174"", ""59.38853455"", ""62.98302460"", ""61.12773514"", ""59.98232269"", ""61.11674500"", ""62.24935532"", ""60.38537598"", ""60.47531509"", ""60.90304184"", ""59.57205963"", ""59.98520660"", ""60.43137360"", ""60.13236618"", ""61.16794205"", ""60.52215195"", ""60.03453064"", ""59.95113754"", ""58.78139114"", ""60.34785461"", ""60.57566452"", ""58.41378403"", ""58.33969116"", ""59.47334671"", ""60.56028366"", ""58.60748291"", ""59.28235626"", ""59.68409348"", ""59.59108353"", ""60.11560059"", ""59.40743256"", ""58.66027451"", ""60.26272583"", ""59.44525528"", ""59.29556274"", ""59.22761536"", ""59.27735519"", ""59.79095078"", ""58.90014267"", ""59.23102570"", ""59.87950134"", ""60.39559174"", ""58.75158310"", ""58.96721649"", ""60.63370514"", ""59.94452667"", ""60.11902618"", ""58.61036301""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,2,44,55.831276,0.139177,0.343141,0.274728,nan,0.059839,0.012614,2977340,256,708.20,70,False,False,ReLU,EARLY_STOPPED,59.19359589,59.37899780,42.33123779,44,1.003132,False,"[""88.05680084"", ""77.26802826"", ""72.24163055"", ""69.51889801"", ""68.21925354"", ""66.02857208"", ""65.62300110"", ""64.71902466"", ""62.94017410"", ""67.01289368"", ""62.83788681"", ""62.67880249"", ""66.26790619"", ""61.79311371"", ""62.56786728"", ""61.17938232"", ""61.77172852"", ""61.80866241"", ""62.23676682"", ""61.22113037"", ""60.38729095"", ""61.29941940"", ""61.91814423"", ""62.17891693"", ""61.80817413"", ""61.58248138"", ""61.76819229"", ""60.95844650"", ""60.98717499"", ""61.36370468"", ""61.78090286"", ""59.63056564"", ""61.51110077"", ""60.03437042"", ""60.28102493"", ""60.22689438"", ""60.02680206"", ""59.62429047"", ""59.71015549"", ""59.87009430"", ""59.22592163"", ""59.72055054"", ""59.81845856"", ""59.62573242"", ""59.19359589"", ""59.83528519"", ""61.16888046"", ""59.55991745"", ""61.69928741"", ""60.35066986"", ""59.52437973"", ""59.49193954"", ""59.68004990"", ""59.55608368"", ""59.26403809"", ""59.44286728"", ""60.55017090"", ""59.36906815"", ""59.67678452"", ""60.51042557"", ""59.93264389"", ""59.19706726"", ""59.75124359"", ""60.23191833"", ""60.28052521"", ""60.36415100"", ""60.00567245"", ""60.44961548"", ""61.12850189"", ""59.37899780""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,1,43,52.541809,0.104839,0.294611,0.204916,nan,0.045958,0.007231,2977340,256,959.75,98,False,False,ReLU,EARLY_STOPPED,59.30967331,60.60950089,38.42044449,72,1.021916,False,"[""87.71056366"", ""76.90631866"", ""72.25449371"", ""71.87174225"", ""70.00386810"", ""66.08233643"", ""65.12561798"", ""64.00505066"", ""64.45867920"", ""63.49328613"", ""64.30913544"", ""63.51225281"", ""61.47546005"", ""63.77945709"", ""61.97721481"", ""61.54863358"", ""61.39810562"", ""61.77597809"", ""62.23587418"", ""60.55341339"", ""61.06838226"", ""62.73204803"", ""62.35294724"", ""64.36130524"", ""62.15617752"", ""62.75576401"", ""60.17661285"", ""61.08154678"", ""62.00306320"", ""61.38096237"", ""60.53072357"", ""61.34735870"", ""61.04979706"", ""60.42538452"", ""60.93758774"", ""61.49349976"", ""61.34198761"", ""61.11930084"", ""60.28786469"", ""61.39241409"", ""61.63449097"", ""61.10346985"", ""60.82666397"", ""60.72494888"", ""61.02354431"", ""61.22317505"", ""60.77415466"", ""60.55762100"", ""60.50018692"", ""60.16786575"", ""60.25790024"", ""60.08962250"", ""60.51996994"", ""60.31712723"", ""60.15306091"", ""59.78108597"", ""60.55155945"", ""60.56209946"", ""59.89198685"", ""60.23167801"", ""60.51091003"", ""61.22750092"", ""60.77811813"", ""59.87593460"", ""61.82542419"", ""60.65402603"", ""59.77369690"", ""61.23787689"", ""59.90486145"", ""59.96382141"", ""59.92802429"", ""59.66056442"", ""59.30967331"", ""60.48416901"", ""60.26643372"", ""60.34869003"", ""60.77297592"", ""60.31114960"", ""59.89644623"", ""59.72003937"", ""60.08158493"", ""60.01745605"", ""60.77845383"", ""60.64397812"", ""59.98469162"", ""60.67577744"", ""59.83812332"", ""60.02238464"", ""60.95331192"", ""60.06012726"", ""59.73400116"", ""59.77138901"", ""60.49946976"", ""61.20816422"", ""60.03380585"", ""59.58222198"", ""60.51316833"", ""60.60950089""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,3,45,48.721851,0.099597,0.282595,0.199483,nan,0.044743,0.008486,2977340,256,614.41,60,False,False,ReLU,EARLY_STOPPED,58.99661255,60.21954346,43.52706528,34,1.020729,False,"[""89.78192902"", ""78.89277649"", ""73.39318085"", ""70.09243774"", ""67.59233093"", ""66.99001312"", ""65.74948120"", ""64.02229309"", ""65.12034607"", ""64.90741730"", ""63.93112946"", ""62.09765244"", ""65.65743256"", ""63.99689484"", ""62.93414307"", ""62.00074768"", ""61.27284622"", ""61.92354584"", ""59.94462967"", ""61.04814529"", ""60.61365509"", ""61.15434265"", ""59.91886520"", ""60.02405167"", ""62.00999451"", ""60.74306870"", ""61.54886627"", ""60.96918106"", ""64.60771179"", ""60.77629471"", ""60.51031876"", ""60.05815125"", ""60.65564728"", ""59.95644760"", ""58.99661255"", ""59.82554626"", ""60.79547501"", ""59.68310928"", ""60.42930603"", ""61.06175613"", ""60.94337082"", ""59.78076935"", ""60.29822922"", ""60.56058884"", ""59.32592010"", ""60.30466080"", ""60.08662415"", ""60.64227295"", ""59.72357559"", ""59.62260437"", ""62.06203079"", ""59.54572678"", ""60.46171951"", ""61.38518524"", ""61.13551331"", ""60.14340591"", ""59.83083725"", ""60.36854935"", ""60.49111557"", ""60.21954346""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavy,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,4,46,48.593079,0.119196,0.269058,0.189081,nan,0.046650,0.008135,2977340,256,429.89,42,False,False,ReLU,EARLY_STOPPED,60.57116318,62.28607941,45.70347977,16,1.028312,False,"[""90.98820496"", ""82.75767517"", ""74.20590973"", ""72.61613464"", ""69.31958008"", ""67.56501007"", ""65.39524841"", ""65.50272369"", ""63.97650909"", ""63.22469711"", ""63.41195679"", ""63.14191818"", ""63.50402069"", ""63.00692749"", ""62.67632675"", ""62.34542847"", ""60.57116318"", ""62.11323166"", ""62.65560913"", ""63.78961945"", ""61.26751328"", ""62.08630371"", ""62.30522919"", ""61.42434692"", ""61.14375687"", ""63.36919785"", ""61.74015808"", ""62.81414795"", ""61.89864731"", ""62.15823746"", ""61.68749237"", ""62.11938095"", ""63.38963318"", ""62.60711670"", ""61.07137680"", ""61.82869720"", ""60.89469910"", ""60.89973450"", ""61.47919846"", ""61.54634476"", ""61.58087158"", ""62.28607941""]",wavy_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavelet,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,1,43,52.777004,0.122864,0.288130,0.193441,nan,0.049175,0.008542,2977340,256,508.06,49,False,False,ReLU,EARLY_STOPPED,59.61768723,59.85148621,44.76583481,23,1.003922,False,"[""87.23804474"", ""78.45535278"", ""75.13388062"", ""70.15166473"", ""67.14397430"", ""65.83229828"", ""67.36904907"", ""65.26022339"", ""63.08361816"", ""64.40526581"", ""63.58312988"", ""63.47270203"", ""63.03176880"", ""61.50830460"", ""61.33769608"", ""65.89307404"", ""63.80814362"", ""63.71907425"", ""60.48086929"", ""61.02615738"", ""59.86248779"", ""61.06844711"", ""60.62839890"", ""59.61768723"", ""60.46478653"", ""59.87547302"", ""60.54285812"", ""61.75968170"", ""61.55458832"", ""61.06942749"", ""61.18310165"", ""60.73497009"", ""61.14894104"", ""59.93476486"", ""59.86161804"", ""61.90456772"", ""62.04164505"", ""60.10766602"", ""60.69319916"", ""60.87595749"", ""60.12335968"", ""60.70898819"", ""60.37427902"", ""59.89553452"", ""60.16046906"", ""60.97369385"", ""60.15135193"", ""60.07100296"", ""59.85148621""]",wavelet_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavelet,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,0,42,56.123680,0.130515,0.343188,0.274499,nan,0.058156,0.012930,2977340,256,817.46,83,False,False,ReLU,EARLY_STOPPED,58.85824585,58.87592316,40.33127594,57,1.000300,False,"[""87.54335785"", ""77.15610504"", ""71.60546875"", ""69.54991150"", ""67.15928650"", ""65.66139984"", ""65.61711121"", ""66.75731659"", ""66.01942444"", ""62.85073090"", ""63.97527313"", ""63.42556381"", ""61.04115677"", ""61.89157104"", ""61.89580154"", ""63.63523483"", ""62.13223267"", ""62.73032379"", ""61.43299866"", ""63.03236008"", ""61.11224365"", ""61.06072617"", ""62.37112427"", ""59.92082596"", ""60.30671692"", ""61.02750778"", ""60.10652161"", ""62.14408875"", ""61.62430573"", ""61.23923492"", ""64.20905304"", ""59.92185974"", ""59.74748230"", ""60.69438553"", ""59.65749741"", ""60.05884552"", ""61.13935089"", ""61.85920334"", ""60.58955765"", ""61.68885040"", ""59.89926910"", ""60.00052261"", ""59.72663879"", ""59.78279877"", ""59.87454605"", ""60.45952606"", ""61.04077530"", ""59.47885513"", ""60.04141617"", ""59.33712006"", ""59.75852585"", ""60.88156891"", ""59.48270035"", ""59.20904160"", ""59.61799622"", ""60.46395874"", ""59.87158585"", ""58.85824585"", ""59.36238861"", ""60.91817093"", ""59.82638168"", ""59.99703979"", ""59.63220596"", ""59.26138687"", ""60.43281555"", ""59.58185577"", ""60.68762589"", ""59.57008743"", ""60.35789108"", ""59.43886566"", ""58.96413422"", ""60.31988907"", ""60.61866379"", ""60.47909927"", ""59.47256088"", ""59.69516754"", ""59.73052216"", ""66.70703888"", ""60.62004089"", ""60.07464600"", ""59.90290833"", ""60.11310959"", ""58.87592316""]",wavelet_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavelet,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,2,44,50.477654,0.110784,0.298723,0.203735,nan,0.046169,0.006305,2977340,256,722.65,70,False,False,ReLU,EARLY_STOPPED,59.41332245,60.27432251,41.01095963,44,1.014492,False,"[""87.82000732"", ""77.51136780"", ""72.80018616"", ""69.48751831"", ""66.40608978"", ""66.28940582"", ""64.81867218"", ""65.49916077"", ""63.87549591"", ""63.32791519"", ""62.17220306"", ""61.87941360"", ""62.46895218"", ""62.82678986"", ""61.68642044"", ""62.13928604"", ""61.72202301"", ""62.62174225"", ""61.09114456"", ""61.02422333"", ""62.04800034"", ""61.44875717"", ""63.52187347"", ""62.83375549"", ""61.19355392"", ""61.89020157"", ""61.73990250"", ""61.46010590"", ""61.13159180"", ""60.73025894"", ""60.78762436"", ""61.13027954"", ""61.11369324"", ""60.74911499"", ""62.98217773"", ""61.16197205"", ""60.45416641"", ""61.69510651"", ""60.97404861"", ""60.43364334"", ""60.90677261"", ""60.60336304"", ""59.77793503"", ""61.19642258"", ""59.41332245"", ""59.88914490"", ""60.87751389"", ""61.02195358"", ""60.39615250"", ""60.67639160"", ""60.70421219"", ""60.64220810"", ""60.45556641"", ""61.51661682"", ""61.40054321"", ""60.42933655"", ""59.81367111"", ""61.77884293"", ""60.74378967"", ""60.79394913"", ""61.11961746"", ""60.09907150"", ""61.76651001"", ""61.09977341"", ""62.61856079"", ""61.37413788"", ""59.72521210"", ""59.91907883"", ""61.27621078"", ""60.27432251""]",wavelet_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavelet,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,3,45,50.630814,0.103114,0.291106,0.195720,nan,0.043756,0.006399,2977340,256,789.91,77,False,False,ReLU,EARLY_STOPPED,59.40418243,60.22093201,40.96887207,51,1.013749,False,"[""87.86917114"", ""77.82324219"", ""74.28632355"", ""71.43682861"", ""68.19947815"", ""67.73180389"", ""66.80316162"", ""65.30397797"", ""64.49442291"", ""63.72588348"", ""62.88405228"", ""63.58774948"", ""62.60807800"", ""69.56307983"", ""66.85036469"", ""61.93095016"", ""63.09565735"", ""62.41923141"", ""62.05155182"", ""64.80823517"", ""61.39324188"", ""61.44992828"", ""61.57070541"", ""60.21985245"", ""60.11597061"", ""60.75513840"", ""60.74429321"", ""60.39729309"", ""61.29994965"", ""60.67409515"", ""62.00320816"", ""61.69676971"", ""64.03520966"", ""62.29665756"", ""60.71863937"", ""60.11499023"", ""61.09956360"", ""60.39478302"", ""61.62973785"", ""62.24110031"", ""60.97800064"", ""61.18812561"", ""60.54565430"", ""62.53360367"", ""61.87796021"", ""61.79477692"", ""60.93444061"", ""61.97492599"", ""63.22820663"", ""62.32004166"", ""61.82480621"", ""59.40418243"", ""60.26171875"", ""62.25772095"", ""60.61491394"", ""59.79691315"", ""60.00381088"", ""60.60710144"", ""61.96510315"", ""59.78912735"", ""59.93072891"", ""61.12642288"", ""61.19957733"", ""59.81959152"", ""60.26155853"", ""61.64759827"", ""60.51247787"", ""61.14422607"", ""60.59782791"", ""60.56558990"", ""61.53546524"", ""60.42847443"", ""61.48937988"", ""60.17444229"", ""60.60580826"", ""61.77191162"", ""60.22093201""]",wavelet_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWALG20_wavelet,gate_fn_study,['TrendWaveletAELG'],Weather-96,144,96,672,20,1,True,4,46,48.217968,0.092175,0.263719,0.189255,nan,0.038653,0.005215,2977340,256,760.43,75,False,False,ReLU,EARLY_STOPPED,58.92781067,60.52445602,41.10676956,49,1.027095,False,"[""91.47917938"", ""84.18981934"", ""74.33184052"", ""72.58928680"", ""68.20696259"", ""67.27094269"", ""64.55809784"", ""64.99212646"", ""63.55765533"", ""65.16626740"", ""63.86377335"", ""61.13196945"", ""62.58478928"", ""61.56185913"", ""63.76316071"", ""61.04855347"", ""61.45520020"", ""61.28448868"", ""61.37341309"", ""63.11021805"", ""60.55563736"", ""60.88138962"", ""59.75852203"", ""60.44560623"", ""60.26328659"", ""59.90662003"", ""61.06015778"", ""60.27659607"", ""60.16302490"", ""60.97102356"", ""60.58781052"", ""60.81043625"", ""61.38426590"", ""62.01738739"", ""60.39062119"", ""60.51049042"", ""59.34207916"", ""60.46478653"", ""61.87947845"", ""60.46146774"", ""59.79562378"", ""60.63605499"", ""59.32183838"", ""60.52129745"", ""59.98759842"", ""60.53116989"", ""61.48743057"", ""59.88345718"", ""60.21292114"", ""58.92781067"", ""59.93677521"", ""61.20489883"", ""59.57508850"", ""59.59674072"", ""60.06599045"", ""60.96190262"", ""59.98797607"", ""59.89834595"", ""60.11869431"", ""60.31919861"", ""59.90612411"", ""60.52592850"", ""59.57724380"", ""60.27004242"", ""60.62241745"", ""59.85507202"", ""60.71099854"", ""60.97696304"", ""59.93167114"", ""60.09557343"", ""60.79392242"", ""60.00298309"", ""59.92601013"", ""59.57966995"", ""60.52445602""]",wavelet_sigmoid,TrendWavelet_pure,TrendWaveletAELG,AELG
gate_fn_study,TWA20_control,gate_fn_study,['TrendWaveletAE'],Weather-96,144,96,672,20,1,True,0,42,50.020546,0.085433,0.263901,0.164815,nan,0.037658,0.005441,2977020,256,905.20,90,False,False,ReLU,EARLY_STOPPED,58.86528015,59.72687531,39.27619934,64,1.014637,False,"[""87.68408203"", ""77.22114563"", ""74.01634979"", ""70.48509979"", ""67.65985107"", ""65.80414581"", ""66.28873444"", ""66.14534760"", ""64.56763458"", ""63.68270111"", ""64.11114502"", ""63.49670792"", ""62.58132553"", ""64.58332062"", ""61.90491867"", ""62.04071808"", ""61.21781540"", ""61.93994141"", ""62.01270294"", ""62.82837296"", ""61.38998795"", ""61.93239594"", ""60.22089767"", ""62.79952621"", ""60.68424606"", ""61.10766602"", ""61.20228577"", ""60.44166565"", ""61.27775192"", ""59.93428040"", ""60.04684067"", ""61.87932587"", ""59.89394379"", ""59.66413116"", ""60.40873337"", ""60.55918884"", ""61.14776230"", ""60.12391281"", ""59.41249084"", ""59.79189301"", ""59.87465286"", ""59.27887726"", ""59.32527924"", ""60.44311905"", ""60.45481110"", ""59.50588608"", ""60.45310593"", ""59.62659073"", ""59.95399857"", ""59.50211334"", ""59.88377762"", ""59.80781174"", ""60.07663727"", ""59.68556976"", ""62.32830429"", ""60.45263290"", ""59.91528320"", ""58.92308807"", ""59.73498917"", ""59.75406265"", ""59.57442474"", ""59.29525375"", ""60.20264816"", ""60.18953323"", ""58.86528015"", ""59.36404037"", ""60.14483643"", ""59.86507416"", ""59.65157700"", ""59.45711899"", ""60.05162430"", ""59.51295853"", ""60.12773514"", ""60.02190781"", ""60.06468582"", ""59.64267349"", ""60.21851349"", ""61.25243378"", ""60.70314789"", ""59.31652832"", ""62.02593613"", ""59.94697952"", ""59.78504944"", ""61.34427261"", ""60.50073624"", ""59.71613693"", ""59.96934891"", ""59.55523682"", ""60.44621277"", ""59.72687531""]",none,TrendWavelet_pure,TrendWaveletAE,AE
