experiment,config_name,category,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,norm_mae,norm_mse,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason,best_val_loss,final_val_loss,final_train_loss,best_epoch,loss_ratio,diverged,val_loss_curve,search_round,block_type,wavelet_type,wavelet_family,basis_dim,basis_offset,trend_dim_cfg,bd_label,latent_dim_cfg,meta_predicted_best,meta_convergence_score
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,0,42,66.297310,1.038324,14.469379,2598.881348,nan,0.379099,0.309247,4805180,74.46,10,False,False,ReLU,MAX_EPOCHS,43.05738068,43.66775131,53.07716751,7,1.014176,False,"[""48.68577576"", ""44.16690445"", ""44.02787781"", ""43.65015793"", ""43.79268265"", ""43.81465149"", ""43.28197098"", ""43.05738068"", ""43.25648880"", ""43.66775131""]",1,TrendWaveletAELG,haar,haar,96,0,3,eq_fcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,1,43,65.545258,1.103550,13.699713,2024.878174,nan,0.379407,0.314517,4805180,74.49,10,False,False,ReLU,MAX_EPOCHS,43.32187653,43.81006241,52.78527069,7,1.011269,False,"[""47.65274048"", ""44.27592468"", ""44.79194641"", ""44.07633972"", ""44.48149109"", ""44.69197845"", ""44.92697906"", ""43.32187653"", ""44.48034668"", ""43.81006241""]",1,TrendWaveletAELG,haar,haar,96,0,3,eq_fcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,0,42,66.645638,1.029688,14.568946,2221.877441,nan,0.371669,0.260544,4784660,72.62,10,False,False,ReLU,MAX_EPOCHS,43.85206985,44.21978760,53.36989594,7,1.008385,False,"[""47.66546631"", ""44.14327621"", ""44.57936478"", ""43.99297333"", ""44.01391602"", ""45.00977325"", ""44.24717712"", ""43.85206985"", ""44.84893036"", ""44.21978760""]",1,TrendWaveletAELG,haar,haar,94,0,3,lt_fcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,2,44,65.479271,1.077681,13.940435,2157.746338,nan,0.378617,0.313812,4805180,73.74,10,False,False,ReLU,MAX_EPOCHS,43.48310852,43.66157532,53.43902206,4,1.004104,False,"[""46.14398956"", ""43.64380264"", ""44.36445618"", ""44.27814102"", ""43.48310852"", ""44.04015350"", ""44.37771988"", ""43.55770874"", ""44.06601715"", ""43.66157532""]",1,TrendWaveletAELG,haar,haar,96,0,3,eq_fcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,1,43,66.597458,1.005333,15.457174,2453.735107,nan,0.358193,0.254640,4784660,73.08,10,False,False,ReLU,MAX_EPOCHS,43.44760513,44.21545029,52.87207794,7,1.017673,False,"[""47.93973541"", ""44.18948364"", ""45.43894958"", ""44.80925369"", ""44.72100830"", ""45.10783386"", ""44.67237473"", ""43.44760513"", ""43.88936615"", ""44.21545029""]",1,TrendWaveletAELG,haar,haar,94,0,3,lt_fcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_fcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,2,44,65.650803,1.002759,14.290799,2061.904541,nan,0.357189,0.250850,4784660,72.82,10,False,False,ReLU,MAX_EPOCHS,43.98886108,43.98886108,53.18627930,9,1.000000,False,"[""46.46609879"", ""46.13525009"", ""44.56282043"", ""44.13107300"", ""45.10894012"", ""44.61327744"", ""44.21772766"", ""44.02184296"", ""44.28810883"", ""43.98886108""]",1,TrendWaveletAELG,haar,haar,94,0,3,lt_fcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,0,42,66.292702,1.357859,16.309393,2641.248535,nan,0.483001,0.655337,6805880,75.90,10,False,False,ReLU,MAX_EPOCHS,44.74964905,45.11494446,55.64473724,8,1.008163,False,"[""53.09113693"", ""49.51972580"", ""48.07824326"", ""47.83790207"", ""44.87669754"", ""45.99160385"", ""45.77551651"", ""44.98006439"", ""44.74964905"", ""45.11494446""]",1,TrendWaveletAELG,haar,haar,192,0,3,eq_bcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,1,43,67.914467,1.935504,15.379354,2459.156250,nan,0.599853,1.239255,6805880,74.07,10,False,False,ReLU,MAX_EPOCHS,44.86313248,44.94289780,54.50347137,4,1.001778,False,"[""53.32652664"", ""48.54165649"", ""46.53620148"", ""45.30110168"", ""44.86313248"", ""45.01400757"", ""45.01424408"", ""44.96634674"", ""45.08206940"", ""44.94289780""]",1,TrendWaveletAELG,haar,haar,192,0,3,eq_bcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_lt_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,0,42,66.297310,1.038324,14.469379,2598.881348,nan,0.379099,0.309247,4805180,76.68,10,False,False,ReLU,MAX_EPOCHS,43.05738068,43.66775131,53.07716751,7,1.014176,False,"[""48.68577576"", ""44.16690445"", ""44.02787781"", ""43.65015793"", ""43.79268265"", ""43.81465149"", ""43.28197098"", ""43.05738068"", ""43.25648880"", ""43.66775131""]",1,TrendWaveletAELG,haar,haar,96,0,3,lt_bcast,16,,
trendwaveletae_search_r1,TrendWaveletAELG_haar_eq_bcast_td3_ld16,trendwaveletae_search,['TrendWaveletAELG'],Weather-96,144,96,192,20,1,True,2,44,66.557487,1.115986,17.301260,3051.759033,nan,0.421026,0.447653,6805880,79.50,10,False,False,ReLU,MAX_EPOCHS,44.02935028,44.81937408,53.84545135,8,1.017943,False,"[""51.76121902"", ""48.49423599"", ""47.28538132"", ""49.06243515"", ""46.33613586"", ""45.09115601"", ""45.09442139"", ""44.40480423"", ""44.02935028"", ""44.81937408""]",1,TrendWaveletAELG,haar,haar,192,0,3,eq_bcast,16,,
